111	Chlamydophila pneumoniae;Chlamydophila;Chlamydiaceae;Chlamydiales;Chlamydiia;Verrucomicrobiota_A	Chlamydia pneumoniae;Chlamydia;Chlamydiaceae;Chlamydiales;Chlamydiia;Chlamydiae
102	Streptococcus pyogenes;Streptococcus;Streptococcaceae;Lactobacillales;Bacilli;Firmicutes	Streptococcus pyogenes;Streptococcus;Streptococcaceae;Lactobacillales;Bacilli;Firmicutes
112	Fusobacterium nucleatum;Fusobacterium;Fusobacteriaceae;Fusobacteriales;Fusobacteriia;Fusobacteriota	Fusobacterium nucleatum;Fusobacterium;Fusobacteriaceae;Fusobacteriales;Fusobacteriia;Fusobacteria
113	Buchnera aphidicola_O;Buchnera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Buchnera aphidicola;Buchnera;Erwiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
114	Escherichia coli;Escherichia;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Escherichia coli;Escherichia;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
115	Streptococcus mutans;Streptococcus;Streptococcaceae;Lactobacillales;Bacilli;Firmicutes	Streptococcus mutans;Streptococcus;Streptococcaceae;Lactobacillales;Bacilli;Firmicutes
116	Tropheryma whipplei;Tropheryma;Microbacteriaceae;Actinomycetales;Actinomycetia;Actinobacteriota	Tropheryma whipplei;Tropheryma;Tropherymataceae;Micrococcales;Actinomycetia;Actinobacteria
117	Bifidobacterium longum;Bifidobacterium;Bifidobacteriaceae;Actinomycetales;Actinomycetia;Actinobacteriota	Bifidobacterium longum;Bifidobacterium;Bifidobacteriaceae;Bifidobacteriales;Actinomycetia;Actinobacteria
118	Pseudomonas_E hunanensis;Pseudomonas_E;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Proteobacteria	Pseudomonas putida;Pseudomonas;Pseudomonadaceae;Pseudomonadales;Gammaproteobacteria;Proteobacteria
119	Porphyromonas gingivalis;Porphyromonas;Porphyromonadaceae;Bacteroidales;Bacteroidia;Bacteroidota	Porphyromonas gingivalis;Porphyromonas;Porphyromonadaceae;Bacteroidales;Bacteroidia;Bacteroidetes
120	Chlamydophila caviae;Chlamydophila;Chlamydiaceae;Chlamydiales;Chlamydiia;Verrucomicrobiota_A	Chlamydia caviae;Chlamydia;Chlamydiaceae;Chlamydiales;Chlamydiia;Chlamydiae
121	Staphylococcus epidermidis;Staphylococcus;Staphylococcaceae;Staphylococcales;Bacilli;Firmicutes	Staphylococcus epidermidis;Staphylococcus;Staphylococcaceae;Bacillales;Bacilli;Firmicutes
122	Leifsonia xyli_C;Leifsonia;Microbacteriaceae;Actinomycetales;Actinomycetia;Actinobacteriota	Leifsonia xyli;Leifsonia;Microbacteriaceae;Micrococcales;Actinomycetia;Actinobacteria
123	Chromobacterium violaceum;Chromobacterium;Chromobacteriaceae;Burkholderiales;Gammaproteobacteria;Proteobacteria	Chromobacterium violaceum;Chromobacterium;Chromobacteriaceae;Neisseriales;Betaproteobacteria;Proteobacteria
124	Buchnera aphidicola_H;Buchnera;Enterobacteriaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria	Buchnera aphidicola;Buchnera;Erwiniaceae;Enterobacterales;Gammaproteobacteria;Proteobacteria
